referencia,replacement1,replacement2
413200,413223,413204
413202,413206,413220
413203,413210,413207
413204,413210,413223
413205,413224,413204
413206,413202,413211
413207,413212,413203
413208,413210,413207
413210,413208,413203
413211,413212,413206
413212,413211,413213
413213,413212,413214
413214,413213,413204
413217,413206,413202
413220,413221,413202
413221,413220,413222
413222,413221,413223
413223,413224,413222
413224,413223,413205
455106,455107,455910
455107,455106,455114
455108,455109,455700
455109,455111,455710
455110,455112,455702
455111,455109,455115
455112,455120,455110
455114,455912,455720
455115,455913,455721
455120,455914,455722
455129,455920,455730
455130,455921,455731
455132,455922,455732
455136,900211,900221
455137,900288,900222
455150,455155,
455152,455154,
455154,455152,
455155,455150,
455156,455155,
455171,455172,
455172,455740,
455203,,
455700,455108,455710
455702,455110,455711
455710,455109,455721
455711,455112,455722
455720,455114,455912
455721,455115,455913
455722,455120,455914
455730,455129,455920
455731,455130,455921
455732,455132,455922
455740,455171,455741
455741,455740,455732
455742,455741,455722
455812,455132,455922
455820,,
455821,,
455823,,
455900,455108,455109
455910,455106,455107
455912,455114,455720
455913,455115,455721
455914,455120,455722
455920,455129,455730
455921,455130,455731
455922,455132,455732
900100,900217,
900208,900285,900292
900210,900286,900220
900211,900287,900221
900212,900288,900222
900213,900289,900223
900214,900215,900289
900215,900291,900216
900216,900215,
900217,900100,
900220,900293,900286
900221,900294,900287
900222,900288,900212
900223,900213,900289
900251,900220,900293
900252,900221,900294
900276,900281,900277
900277,900276,
900281,900292,
900284,900285,455115
900285,900208,900292
900286,900210,900220
900287,900211,900221
900288,900212,900222
900289,900213,900223
900291,900215,900216
900292,900285,455130
900293,900220,900286
900294,900221,900287
900299,455171,455740
900300,900284,455741
